inv_pk,inv_type,inv_scancode,inv_name,inv_size,inv_receiptalias,inv_discontinued,pi1_description,pi2_description,brd_name,dpt_name,sib_baseprice,inv_lastreceived,inv_lastsold,del_ingredientList,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Ingredient_5,Ingredient_6,Ingredient_7,Ingredient_8,Ingredient_9,Ingredient_10,Ingredient_11,Ingredient_12,Ingredient_13,Ingredient_14,Ingredient_15,Ingredient_16,Ingredient_17,Ingredient_18,Ingredient_19,Ingredient_20,Ingredient_21,Ingredient_22,Ingredient_23,Ingredient_24,Ingredient_25,Ingredient_26,Ingredient_27,Ingredient_28,Ingredient_29,Ingredient_30,Ingredient_31,Ingredient_32,Ingredient_33,Ingredient_34,Ingredient_35,Ingredient_36,Ingredient_37,Ingredient_38,Ingredient_39,Ingredient_40,Ingredient_41,Ingredient_42,Ingredient_43,Ingredient_44,Ingredient_45,Ingredient_46,Ingredient_47,Ingredient_48,Ingredient_49,Ingredient_50,Ingredient_51,Ingredient_52,Ingredient_53,Ingredient_54,Ingredient_55,Ingredient_56,Ingredient_57,Ingredient_58,Ingredient_59,Ingredient_60,Ingredient_61,Ingredient_62,Ingredient_63,Ingredient_64,Ingredient_65,Ingredient_66,Ingredient_67,Ingredient_68,Ingredient_69,Ingredient_70,Ingredient_71,Ingredient_72,Ingredient_73,Ingredient_74,Ingredient_75,Ingredient_76,Ingredient_77,Ingredient_78,Ingredient_79,Ingredient_80,Ingredient_81,Ingredient_82,Ingredient_83,Ingredient_84,Ingredient_85,Ingredient_86,Ingredient_87,Ingredient_88,Ingredient_89,Ingredient_90,Ingredient_91,Ingredient_92,Ingredient_93,Ingredient_94,Ingredient_95,Ingredient_96,Ingredient_97,Ingredient_98,Ingredient_99,Ingredient_100,Ingredient_101,Ingredient_102,Ingredient_103,Ingredient_104,Ingredient_105,Ingredient_106,Ingredient_107,Ingredient_108,Ingredient_109,Ingredient_110,Ingredient_111,Ingredient_112,Ingredient_113,Ingredient_114,Ingredient_115
45283,Stock Inventory     ,37014000559,Choc Bar Dk Caramel Apple,3 oz ,ES Bar Choc Dk Cml Apl 3OZ,1,SHELF STABLE CANDY            ,SS CANDY CHOCOLATE            ,Endangered Species            ,Packaged Grocery              ,3 69,10/5/22 0:00,1/27/23 13:39,"Bittersweet Chocolate (Chocolate Liquor, Cane Sugar, Cocoa Butter, Soy Lecithin, Vanilla), Organic Caramel (Organic Tapioca Syrup, Organic Cane Sugar, Organic Nonfat Milk, Organic Heavy Cream, Organic Butter [Milk], Salt, Pectin, Sodium Citrate, Organic Vanilla Extract 2-Fold, Organic Soy Lecithin, Vitamin E (Mixed Tocopherols) Added To Preserve Freshness), Natural Apple Flavor, Cinnamon",Bittersweet Chocolate (Chocolate Liquor, Cane Sugar, Cocoa Butter, Soy Lecithin, Vanilla), Organic Caramel (Organic Tapioca Syrup, Organic Cane Sugar, Organic Nonfat Milk, Organic Heavy Cream, Organic Butter [Milk], Salt, Pectin, Sodium Citrate, Organic Vanilla Extract 2-Fold, Organic Soy Lecithin, Vitamin E (Mixed Tocopherols) Added To Preserve Freshness), Natural Apple Flavor, Cinnamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45256,Stock Inventory     ,8.52E+11,Chips Potato Sea Salt OG      ,4 5 oz              ,Chips Potato SeaSalt            ,1,SHELF STABLE CHIPS PRETZELS SN,SS POTATO CHIPS               ,Lukes                         ,Packaged Grocery              ,3 99,11/26/18 0:00,1/11/19 14:58,"LUKE'S ORGANIC POTATOES, LUKE'S ORGANIC SUSTAINABLE OIL BLEND (SUNFLOWER OIL, SAFFLOWER OIL AND/OR RED PALM OLEIN), SEA SALT",LUKE'S ORGANIC POTATOES, LUKE'S ORGANIC SUSTAINABLE OIL BLEND (SUNFLOWER OIL, SAFFLOWER OIL AND/OR RED PALM OLEIN), SEA SALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45287,Stock Inventory     ,6.32E+11,Yerba Mate Spark Grapft Gngr  ,12 fl oz ,GUA Yerba Mate GrpftGngr 12FZ,0,SHELF STABLE TEA & COFFEE RTD ,SS TEA RTD                    ,Guayaki                       ,Packaged Grocery              ,2 99,1/16/25 0:00,2/10/25 17:26,SPARKLING PURIFIED WATER,SPARKLING PURIFIED WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45286,Stock Inventory     ,6.32E+11,Yerba Mate Sparkling Cran Pom,12 fl oz ,GUA Yerba Mate Cran Pom 12FZ,0,SHELF STABLE TEA & COFFEE RTD ,SS TEA RTD                    ,Guayaki                       ,Packaged Grocery              ,2 79,1/16/25 0:00,2/11/25 13:12,SPARKLING PURIFIED WATER,SPARKLING PURIFIED WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45285,Stock Inventory     ,6.32E+11,Yerba Mate Bluephoria         ,15 5 fl oz ,GUA Yerba Mate Bluphoria 15 5FZ,0,SHELF STABLE TEA & COFFEE RTD ,SS TEA RTD                    ,Guayaki                       ,Packaged Grocery              ,2 99,2/6/25 0:00,2/11/25 9:31,PURIFIED WATER,PURIFIED WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45232,Stock Inventory     ,7.88E+11,The Complete Cookie Pnut Buttr,4 oz                ,"COMPLETE CKY,PEANUT BUTT",1,SHELF STABLE COOKIES & SNACK B,SS COOKIES                    ,Lenny & Larry's               ,Packaged Grocery              ,2 29,12/20/21 0:00,4/13/22 9:01,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CHICORY ROOT FIBER, PEANUT BUTTER, PROTEIN BLEND (VITAL WHEAT GLUTEN, PEA PROTEIN, RICE PROTEIN), INVERT SUGAR, VEGETABLE GLYCERIN, CANE SUGAR, PEANUTS, PALM FRUIT OIL, SUNFLOWER LECITHIN, NATURAL FLAVORS, BAKING SODA, SALT, XANTHAN GUM, GUAR GUM ",ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CHICORY ROOT FIBER, PEANUT BUTTER, PROTEIN BLEND (VITAL WHEAT GLUTEN, PEA PROTEIN, RICE PROTEIN), INVERT SUGAR, VEGETABLE GLYCERIN, CANE SUGAR, PEANUTS, PALM FRUIT OIL, SUNFLOWER LECITHIN, NATURAL FLAVORS, BAKING SODA, SALT, XANTHAN GUM, GUAR GUM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45288,Stock Inventory     ,6.32E+11,Clsc Gld Yerba Mate Sprklng OG,12 fl oz ,GUA YrbaMte Clsc Gld OG 12FZ,0,SHELF STABLE TEA & COFFEE RTD ,SS TEA RTD                    ,Guayaki                       ,Packaged Grocery              ,2 79,2/6/25 0:00,2/11/25 16:09,SPARKLING PURIFIED WATER,SPARKLING PURIFIED WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45243,Stock Inventory     ,44000050986,Crackers Original Sea Salt    ,8 5 oz ,TRI Crackers Orig Salt 8 5OZ,0,SHELF STABLE CRACKERS & CRISPB,SS CRACKERS CLASSIC & DELI    ,Triscuit                      ,Packaged Grocery              ,5 99,7/10/24 0:00,10/22/24 18:12,WHOLE GRAIN WHEAT,WHOLE GRAIN WHEAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45315,Stock Inventory     ,73416533301,Rice Thai Red & White Jasmine ,8 oz                ,Rice Thai R&W Jasm              ,1,SHELF STABLE BEANS GRAINS & RI,SS RICE DRY                   ,Lundberg Farms                ,Packaged Grocery              ,3 49,3/19/18 0:00,1/7/19 10:57,"WATER, ORGANIC WHITE JASMINE RICE*, ORGANIC RED JASMINE RICE *",WATER, ORGANIC WHITE JASMINE RICE*, ORGANIC RED JASMINE RICE *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45314,Stock Inventory     ,73416533103,Rice Thai Brown Jasmine OG    ,8 oz                ,"RCE,OG2,THAI HOM,BRN JAS",1,SHELF STABLE BEANS GRAINS & RI,SS RICE DRY                   ,Lundberg Farms                ,Packaged Grocery              ,3 49,9/6/18 0:00,1/4/19 18:31,"WATER, +ORGANIC BROWN JASMINE RICE ",WATER, +ORGANIC BROWN JASMINE RICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
