similar_product,similar_inv_scancode,similar_inv_pk,similarity_score,similar_brd_name,similar_dpt_name,original_product,inv_pk,brd_name,inv_scancode
puree pouch banana raspberry rice og,35698,23923320147,0.96189964,Earth's Best                  ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  ,23923200173
puree pouch baby banana blueberry,34187,23923330085,0.9715611,Earth's Best                  ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  ,23923200173
organic avocados 4 count,1244908,33383401676,0.99018997,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       ,94046
organic fair trade avocados 4pk,106081,7.46E+11,0.9660283,Equal Exchange                ,Produce                       ,pouch squash & sweet pea,12108,Produce                       ,94046
organic green skin avocados,66959,94226,0.9836471,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       ,94046
organic mangoes,12168,94051,0.96117723,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       ,94046
peppercorns black,67262,7156,0.96605337,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
organic everything blend,66669,6847,0.9663527,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
organic white minced onion,60068,7270,0.9661976,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
garlic powder,49985,7273,0.9653812,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
ground sumac berries,49477,7265,0.97015405,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
organic eucalyptus leaf,134418,7744,0.96124816,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
peppercorns black,67262,7156,0.9646082,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
organic everything blend,66669,6847,0.9622895,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
garlic powder,49985,7273,0.9660257,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
ground sumac berries,49477,7265,0.9634799,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
organic cilantro leaf,586076,7748,0.96819574,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
organic eucalyptus leaf,134418,7744,0.980484,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
gentian root,134417,7743,0.97072315,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
peppercorns black,67262,7156,0.9768634,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
organic berbere seasoning,67176,6616,0.97210854,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
organic purple ben yagi sweet potato,1244975,97298,0.9778323,Produce                       ,Produce                       ,black forest uncured ham,12225,Produce                       ,94072
ap potatoes yukon lcl ipm,671044,4733,0.9631912,Finger Lakes Family Farms     ,Produce                       ,black forest uncured ham,12225,Produce                       ,94072
organic yukon gold potatoes,586082,94733,0.9887219,Finger Lakes Family Farms     ,Produce                       ,black forest uncured ham,12225,Produce                       ,94072
red potatoes,383202,7.12E+11,0.9756366,Wild Harvest                  ,Produce                       ,black forest uncured ham,12225,Produce                       ,94072
gold potatoes,66966,4727,0.99443346,Andy's Specialty Garlic & Prod,Produce                       ,black forest uncured ham,12225,Produce                       ,94072
original crinkle cut chips,713107,8.52E+11,0.9694118,The Good Crisp Company        ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        ,8.52E+11
sour cream & onion crinkle cut chips,713099,8.52E+11,0.96149266,The Good Crisp Company        ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        ,8.52E+11
kettle chips grillo's pickle,713098,7.08E+11,0.9656363,Boulder Canyon                ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        ,8.52E+11
buffalo ranch kettle chips,519655,7.86E+11,0.9768798,Uglies Chips                  ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        ,8.52E+11
chedder & sour cream kettle chips,519654,7.86E+11,0.9818326,Uglies Chips                  ,Packaged Grocery              ,organic avocados,46259,The Good Crisp Company        ,8.52E+11
sweet drops vanilla,42089,7.16E+11,0.9938488,Sweet Leaf                    ,Packaged Grocery              ,organic navel oranges,42085,Sweet Leaf                    ,7.16E+11
sweet drops stevia clear,42086,7.16E+11,0.9932629,Sweet Leaf                    ,Packaged Grocery              ,organic navel oranges,42085,Sweet Leaf                    ,7.16E+11
stevia clear liquid,17329,7.16E+11,0.9607885,Sweet Leaf                    ,Packaged Grocery              ,organic navel oranges,42085,Sweet Leaf                    ,7.16E+11
wipe disinfecting multi surface,47405,7.33E+11,0.99999994,Seventh Generation            ,Packaged Grocery              ,nasal cleansing pot,46094,Seventh Generation            ,7.33E+11
spray disinfectant lavander vanilla,46095,7.33E+11,0.99999994,Seventh Generation            ,Packaged Grocery              ,nasal cleansing pot,46094,Seventh Generation            ,7.33E+11
cherry limeade seltzer,846362,71537301472,0.97125614,Polar Seltzer                 ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 ,71537020830
mango limeade seltzer,846361,71537003758,0.97510976,Polar Seltzer                 ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 ,71537020830
thc strawberry seltzer hybrid,553373,8.50E+11,0.9751835,Tempter's                     ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 ,71537020830
thc blueberry seltzer indica,553372,8.50E+11,0.9677207,Tempter's                     ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 ,71537020830
thc citrus seltzer sativa,553371,8.50E+11,0.96792233,Tempter's                     ,Packaged Grocery              ,gum pouch spearmint,46025,Polar Seltzer                 ,71537020830
mini  semi-sweet chocolate chips,24740,8.54E+11,0.9958613,Enjoy Life                    ,Packaged Grocery              ,organic mangoes,45637,Enjoy Life                    ,8.20E+11
lavneder & mint dish soap,519885,7.33E+11,0.9657762,Seventh Generation            ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     ,7.17E+11
laundry detergent free & clear,452106,7.33E+11,0.97905326,Seventh Generation            ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     ,7.17E+11
lavender liq laundry det 60 ld,105356,7.33E+11,0.97905326,Seventh Generation            ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     ,7.17E+11
laundry easy dose lavender,53577,7.33E+11,0.96431553,Seventh Generation            ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     ,7.17E+11
laundry easy dose free & clear,53548,7.33E+11,0.97517246,Seventh Generation            ,Packaged Grocery              ,tea jasmine green og 20 bag,45645,Bio Kleen                     ,7.17E+11
crackers sea salt,58490,8.99E+11,0.96104103,Firehook                      ,Packaged Grocery              ,penne & four cheese,45452,Le Pain des Fleurs            ,8.48E+11
matzo whole wheat passover,45956,70227600048,0.9769635,Streit's                      ,Packaged Grocery              ,penne & four cheese,45452,Le Pain des Fleurs            ,8.48E+11
matzos kosher org flour,32358,70227603070,0.9861126,Streit's                      ,Packaged Grocery              ,penne & four cheese,45452,Le Pain des Fleurs            ,8.48E+11
mint chocolate protein bar,45410,8.58E+11,0.9640478,RXBar                         ,Packaged Grocery              ,organic ground chipotle,45406,RXBar                         ,8.58E+11
blueberry protein bar,45408,8.58E+11,0.9872547,RXBar                         ,Packaged Grocery              ,organic ground chipotle,45406,RXBar                         ,8.58E+11
chocolate sea salt protein bar,41462,8.58E+11,0.96395683,RXBar                         ,Packaged Grocery              ,organic ground chipotle,45406,RXBar                         ,8.58E+11
apple pie nutritional bar,11639,21908509273,0.96289945,Larabar                       ,Packaged Grocery              ,organic ground chipotle,45406,RXBar                         ,8.58E+11
mint chocolate protein bar,45410,8.58E+11,0.9756736,RXBar                         ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         ,8.58E+11
peanut butter chocolate protein bar,45407,8.58E+11,0.9670727,RXBar                         ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         ,8.58E+11
mixed berry protein bar,45406,8.58E+11,0.9872547,RXBar                         ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         ,8.58E+11
chocolate sea salt protein bar,41462,8.58E+11,0.9780016,RXBar                         ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         ,8.58E+11
peanut butter protein bar,41461,8.58E+11,0.968505,RXBar                         ,Packaged Grocery              ,organic low-sodium vegetable broth powder,45408,RXBar                         ,8.58E+11
white chocolate cookie,47931,7.88E+11,0.98284686,Lenny & Larry's               ,Packaged Grocery              ,organic dill weed,45231,Lenny & Larry's               ,7.88E+11
chocolate chip cookie,43501,7.88E+11,0.98900974,Lenny & Larry's               ,Packaged Grocery              ,organic dill weed,45231,Lenny & Larry's               ,7.88E+11
organic marinara pasta sauce,214557,7.25E+11,0.9834246,Miur Glen                     ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     ,42563603748
pasta sauce gar rstd gar,14310,7.25E+11,0.9834246,Miur Glen                     ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     ,42563603748
pasta sce og garden veg,9049,7.25E+11,0.9834246,Miur Glen                     ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     ,42563603748
pasta sauce tomato basil og,9044,7.25E+11,0.9834246,Miur Glen                     ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     ,42563603748
pasta sce og italian herb,9042,7.25E+11,0.9834246,Miur Glen                     ,Packaged Grocery              ,organo mediterranean oregano leaf,45228,Field Day                     ,42563603748
yerba mate tropical,65576,6.32E+11,0.96426094,Guayaki                       ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       ,6.32E+11
tea sparkling the citra bomb,58862,8.55E+11,0.9615372,Hoplark                       ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       ,6.32E+11
yerba mate raspberry og,53212,8.50E+11,0.9991977,Clean Cause                   ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       ,6.32E+11
coffee cold brew original og,52968,8.51E+11,0.96017885,Chameleon                     ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       ,6.32E+11
clsc gld yerba mate sprklng og,45288,6.32E+11,1.0000001,Guayaki                       ,Packaged Grocery              ,organic rosehips,45287,Guayaki                       ,6.32E+11
yerba mate tropical,65576,6.32E+11,0.96426094,Guayaki                       ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       ,6.32E+11
tea sparkling the citra bomb,58862,8.55E+11,0.9615372,Hoplark                       ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       ,6.32E+11
yerba mate raspberry og,53212,8.50E+11,0.9991977,Clean Cause                   ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       ,6.32E+11
coffee cold brew original og,52968,8.51E+11,0.96017885,Chameleon                     ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       ,6.32E+11
clsc gld yerba mate sprklng og,45288,6.32E+11,1.0000001,Guayaki                       ,Packaged Grocery              ,organic ground turmeric root,45286,Guayaki                       ,6.32E+11
real stick bbq,36847,6.06E+11,0.97578025,Vermont Smoke & Cure          ,Meat                          ,organic yukon gold potatoes,45177,Vermont Smoke & Cure          ,6.06E+11
real stick original,36835,6.06E+11,0.9725119,Vermont Smoke & Cure          ,Meat                          ,organic yukon gold potatoes,45177,Vermont Smoke & Cure          ,6.06E+11
blood orange sparkling water,1037654,8.50E+11,0.9607078,Spindrift                     ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 ,71537020250
elderflower starlight seltzer,1024632,71537022056,0.9602026,Polar Seltzer                 ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 ,71537020250
thc orange soda 4pk,661932,8.50E+11,0.9631118,Upstate Elevator Supply       ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 ,71537020250
thc white peach sparkling water 4pk,585902,8.60E+11,0.96781725,Tune Up                       ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 ,71537020250
sparkling thc cherry water 4pk,553167,8.60E+11,0.96490216,Tune Up                       ,Packaged Grocery              ,organic russet potatoes,45183,Polar Seltzer                 ,71537020250
passion fruit thc seltzer,1318968,8.50E+11,0.96147096,Upstate Elevator Supply       ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 ,71537020380
cherry limeade seltzer,846362,71537301472,0.9761842,Polar Seltzer                 ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 ,71537020380
mango limeade seltzer,846361,71537003758,0.9763857,Polar Seltzer                 ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 ,71537020380
thc strawberry seltzer hybrid,553373,8.50E+11,0.9749037,Tempter's                     ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 ,71537020380
thc citrus seltzer sativa,553371,8.50E+11,0.972865,Tempter's                     ,Packaged Grocery              ,organic red potatoes,45186,Polar Seltzer                 ,71537020380
thc vanilla cola,1318900,7.20E+11,0.96831465,Ayrloom                       ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 ,71537201307
blood orange sparkling water,1037654,8.50E+11,0.9644438,Spindrift                     ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 ,71537201307
elderflower starlight seltzer,1024632,71537022056,0.9629102,Polar Seltzer                 ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 ,71537201307
spiced pear cider,1024630,71537022032,0.96404576,Polar Seltzer                 ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 ,71537201307
lemon elderflower thc seltzer,1016573,1.98E+11,0.96389174,Brez                          ,Packaged Grocery              ,smooth shine apple conditioner,44867,Polar Seltzer                 ,71537201307
thc vanilla cola,1318900,7.20E+11,0.96326315,Ayrloom                       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 ,71537001259
blood orange sparkling water,1037654,8.50E+11,0.9625736,Spindrift                     ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 ,71537001259
dank sparkling water,976752,8.60E+11,0.96104276,Tune Up                       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 ,71537001259
tepache hibiscus seltzer,663002,8.10E+11,0.973027,De La Calle                   ,Refrigerated                  ,potato chips original,44866,Polar Seltzer                 ,71537001259
thc orange soda 4pk,661932,8.50E+11,0.97126114,Upstate Elevator Supply       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 ,71537001259
thc vanilla cola,1318900,7.20E+11,0.96326315,Ayrloom                       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 ,71537001259
blood orange sparkling water,1037654,8.50E+11,0.9625736,Spindrift                     ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 ,71537001259
dank sparkling water,976752,8.60E+11,0.96104276,Tune Up                       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 ,71537001259
tepache hibiscus seltzer,663002,8.10E+11,0.973027,De La Calle                   ,Refrigerated                  ,potato chips original,44866,Polar Seltzer                 ,71537001259
thc orange soda 4pk,661932,8.50E+11,0.97126114,Upstate Elevator Supply       ,Packaged Grocery              ,potato chips original,44866,Polar Seltzer                 ,71537001259
thc vanilla cola,1318900,7.20E+11,0.96831465,Ayrloom                       ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 ,71537201338
blood orange sparkling water,1037654,8.50E+11,0.9644438,Spindrift                     ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 ,71537201338
elderflower starlight seltzer,1024632,71537022056,0.9629102,Polar Seltzer                 ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 ,71537201338
spiced pear cider,1024630,71537022032,0.96404576,Polar Seltzer                 ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 ,71537201338
lemon elderflower thc seltzer,1016573,1.98E+11,0.96389174,Brez                          ,Packaged Grocery              ,sweet drops vanilla,44864,Polar Seltzer                 ,71537201338
organic elderberry juice,1171837,8.99E+11,0.9667046,Biotta                        ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     ,42563603687
turmeric radiance tonic,520085,8.54E+11,0.98198426,GoldThread                    ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     ,42563603687
organic beet juice,519989,74682200294,0.9612448,R  W  Knudsen                 ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     ,42563603687
hibiscus rosehip tea & aronia drink,383172,7.50E+11,0.9609745,Naturao                       ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     ,42563603687
pineapple water & aronia berry drink,383168,7.50E+11,0.9662698,Naturao                       ,Packaged Grocery              ,organic unsalted tahini,44782,Field Day                     ,42563603687
organic elderberry juice,1171837,8.99E+11,0.97191226,Biotta                        ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     ,42563603670
turmeric radiance tonic,520085,8.54E+11,0.991898,GoldThread                    ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     ,42563603670
organic beet juice,519989,74682200294,0.96721995,R  W  Knudsen                 ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     ,42563603670
hibiscus rosehip tea & aronia drink,383172,7.50E+11,0.96078473,Naturao                       ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     ,42563603670
sweet black tea & aronia berry drink,383171,7.50E+11,0.96486497,Naturao                       ,Packaged Grocery              ,organic unsalted creamy peanut butter,44781,Field Day                     ,42563603670
enchilada black beans,520086,8.50E+11,0.9656646,HeyDay Canning                ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     ,42563603632
og black beans,486160,8.14E+11,0.96615523,Made With                     ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     ,42563603632
og three bean blend,383189,42563606169,0.97795355,Field Day                     ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     ,42563603632
organic black beans,179944,8.15E+11,0.97635525,Jovial                        ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     ,42563603632
organic cut green beans,58340,8.53E+11,0.962186,Green Valley Creamery         ,Packaged Grocery              ,organic unsalted crunchy peanut butter,44780,Field Day                     ,42563603632
tepache hibiscus seltzer,663002,8.10E+11,0.97207415,De La Calle                   ,Refrigerated                  ,grocery story,44549,LaCroix                       ,73360233418
thc orange soda 4pk,661932,8.50E+11,0.96695995,Upstate Elevator Supply       ,Packaged Grocery              ,grocery story,44549,LaCroix                       ,73360233418
thc white peach sparkling water 4pk,585902,8.60E+11,0.97079796,Tune Up                       ,Packaged Grocery              ,grocery story,44549,LaCroix                       ,73360233418
sparkling thc cherry water 4pk,553167,8.60E+11,0.96873283,Tune Up                       ,Packaged Grocery              ,grocery story,44549,LaCroix                       ,73360233418
margarita thc sparkling water 4pk,520243,8.60E+11,0.96377933,Tune Up                       ,Packaged Grocery              ,grocery story,44549,LaCroix                       ,73360233418
tepache hibiscus seltzer,663002,8.10E+11,0.97207415,De La Calle                   ,Refrigerated                  ,malt beverage variety pack,44553,LaCroix                       ,12993101619
thc orange soda 4pk,661932,8.50E+11,0.96695995,Upstate Elevator Supply       ,Packaged Grocery              ,malt beverage variety pack,44553,LaCroix                       ,12993101619
thc white peach sparkling water 4pk,585902,8.60E+11,0.97079796,Tune Up                       ,Packaged Grocery              ,malt beverage variety pack,44553,LaCroix                       ,12993101619
sparkling thc cherry water 4pk,553167,8.60E+11,0.96873283,Tune Up                       ,Packaged Grocery              ,malt beverage variety pack,44553,LaCroix                       ,12993101619
margarita thc sparkling water 4pk,520243,8.60E+11,0.96377933,Tune Up                       ,Packaged Grocery              ,malt beverage variety pack,44553,LaCroix                       ,12993101619
elderflower starlight seltzer,1024632,71537022056,0.9609977,Polar Seltzer                 ,Packaged Grocery              ,seasafe® seafood salad,44558,LaCroix                       ,12993441074
spiced pear cider,1024630,71537022032,0.96044517,Polar Seltzer                 ,Packaged Grocery              ,seasafe® seafood salad,44558,LaCroix                       ,12993441074
lemon elderflower thc seltzer,1016573,1.98E+11,0.9615132,Brez                          ,Packaged Grocery              ,seasafe® seafood salad,44558,LaCroix                       ,12993441074
lemon elderflower thc seltzer,1016572,1.98E+11,0.9615132,Brez                          ,Packaged Grocery              ,seasafe® seafood salad,44558,LaCroix                       ,12993441074
tepache hibiscus seltzer,663002,8.10E+11,0.976452,De La Calle                   ,Refrigerated                  ,seasafe® seafood salad,44558,LaCroix                       ,12993441074
organic chai tea,281696,7.95E+11,0.96333396,Tazo                          ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 ,8.02E+11
tea masala chai og,66353,7.41E+11,0.9633916,Rishi                         ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 ,8.02E+11
herb tea moringa og,51940,32917002709,0.9616964,Traditional Medicinals        ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 ,8.02E+11
tea tulsi hibiscus og,48470,8.02E+11,0.9740157,Organic India                 ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 ,8.02E+11
tea tulsi ashwagandha og,48469,8.02E+11,0.9723881,Organic India                 ,Packaged Grocery              ,mexican fiesta,44115,Organic India                 ,8.02E+11
sauce wango tango habanero,44196,8.57E+11,0.9857453,Dinosaur Bar-B-Que            ,Packaged Grocery              ,fudge mint cookies,44194,Dinosaur Bar-B-Que            ,8.57E+11
sauce roastd garlc honey,44195,8.57E+11,0.9940232,Dinosaur Bar-B-Que            ,Packaged Grocery              ,fudge mint cookies,44194,Dinosaur Bar-B-Que            ,8.57E+11
strip venison steak,43887,7.32E+11,0.9888211,Epic                          ,Packaged Grocery              ,organic figgy pops choco crunch,43885,Epic                          ,7.32E+11
venison sea salt & pepper bar,66675,7.32E+11,0.96098894,Epic                          ,Packaged Grocery              ,concentrate cranberry og,43884,Epic                          ,7.32E+11
beef barbacoa bar,65917,7.32E+11,0.9607251,Epic                          ,Packaged Grocery              ,concentrate cranberry og,43884,Epic                          ,7.32E+11
bites simply beef salt pepper,58848,7.32E+11,0.9607251,Epic                          ,Packaged Grocery              ,concentrate cranberry og,43884,Epic                          ,7.32E+11
beef jalapeno bar,55316,7.32E+11,0.9607251,Epic                          ,Packaged Grocery              ,concentrate cranberry og,43884,Epic                          ,7.32E+11
strip chicken sriracha,49323,7.32E+11,0.9600663,Epic                          ,Packaged Grocery              ,concentrate cranberry og,43884,Epic                          ,7.32E+11
vegan oyster sauce,1245086,41224870758,0.97757304,Roland                        ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 ,7.34E+11
oyster sauce,1245039,78895300017,0.97757304,Lee Kum Kee                   ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 ,7.34E+11
jerk sauce,553283,40099267830,0.97757304,Boss Sauces                   ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 ,7.34E+11
organic coconut amino sauce,553162,8.73E+11,0.96585786,Big Tree                      ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 ,7.34E+11
coconut korma simmer sauce,520103,7.83E+11,0.97757304,Tasty Bite                    ,Packaged Grocery              ,spray disinfectant lavander vanilla,43870,Ginger People                 ,7.34E+11
brown rice pasta mac & cheese,520162,8.15E+11,0.9716654,Jovial                        ,Packaged Grocery              ,spray disinfectant fresh citrus,43843,Annie's                       ,13562002214
mac & cheese vegan og,48100,13562499014,0.9923197,Annie's                       ,Packaged Grocery              ,spray disinfectant fresh citrus,43843,Annie's                       ,13562002214
organic mini peanut butter milk chocolate cups,67197,8.55E+11,0.99412596,Justins Nut Butter            ,Packaged Grocery              ,spray disinfectant eucalyptus,43657,Justins Nut Butter            ,8.94E+11
peanut butter cup dk mini og,40661,8.55E+11,0.9870991,Justins Nut Butter            ,Packaged Grocery              ,spray disinfectant eucalyptus,43657,Justins Nut Butter            ,8.94E+11
white cholocate peanut butter cup,40426,8.55E+11,0.98203564,Justins Nut Butter            ,Packaged Grocery              ,spray disinfectant eucalyptus,43657,Justins Nut Butter            ,8.94E+11
peanut butter cup vegan dark,32755,8.94E+11,0.96725976,Justins Nut Butter            ,Packaged Grocery              ,spray disinfectant eucalyptus,43657,Justins Nut Butter            ,8.94E+11
za'atar & thyme pita chips,1171820,8.05E+11,0.9681404,Issa's                        ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              ,8.15E+11
spicy harissa pita chips,850396,1.96E+11,0.9681404,Issa's                        ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              ,8.15E+11
organic sea salt tortilla chips,713105,8.10E+11,1.0000002,Siete                         ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              ,8.15E+11
kettle chips grillo's pickle,713098,7.08E+11,0.96283907,Boulder Canyon                ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              ,8.15E+11
hot mama salsa,585951,7.38E+11,1.0000002,Larry's                       ,Packaged Grocery              ,matzo whole wheat passover,43547,Late July Snacks              ,8.15E+11
organic sweet potato pie mix,1023611,6.39E+11,0.9766661,Farmers Market                ,Packaged Grocery              ,seltzer cranberry clementine,43289,Field Day                     ,42563603922
sun-ripened dried tomatoes,713133,73214007547,0.9775647,Jeff's Garden                 ,Packaged Grocery              ,seltzer cranberry clementine,43289,Field Day                     ,42563603922
og chopped dates,486034,8.60E+11,0.9768107,Let's Date                    ,Packaged Grocery              ,seltzer cranberry clementine,43289,Field Day                     ,42563603922
og pitted dates,486033,8.60E+11,0.9768107,Let's Date                    ,Packaged Grocery              ,seltzer cranberry clementine,43289,Field Day                     ,42563603922
og three bean blend,383189,42563606169,0.967178,Field Day                     ,Packaged Grocery              ,seltzer cranberry clementine,43289,Field Day                     ,42563603922
granola flax & quinoa og,52610,42563604226,0.971601,Field Day                     ,Packaged Grocery              ,milk chocolate pretzel bar,43096,Field Day                     ,42563603724
granola fruit & nut og,52609,42563604219,0.971601,Field Day                     ,Packaged Grocery              ,milk chocolate pretzel bar,43096,Field Day                     ,42563603724
granola coconut almond og,50813,42563604202,0.971601,Field Day                     ,Packaged Grocery              ,milk chocolate pretzel bar,43096,Field Day                     ,42563603724
granola cinnamon flax og,43097,42563603731,1.0000002,Field Day                     ,Packaged Grocery              ,milk chocolate pretzel bar,43096,Field Day                     ,42563603724
granola honey oat og,43095,42563603717,1.0000002,Field Day                     ,Packaged Grocery              ,milk chocolate pretzel bar,43096,Field Day                     ,42563603724
lavneder & mint dish soap,519885,7.33E+11,0.96874714,Seventh Generation            ,Packaged Grocery              ,crispy onion,43050,Field Day                     ,42563603809
laundry detergent free & clear,452106,7.33E+11,0.9751625,Seventh Generation            ,Packaged Grocery              ,crispy onion,43050,Field Day                     ,42563603809
lavender liq laundry det 60 ld,105356,7.33E+11,0.9751625,Seventh Generation            ,Packaged Grocery              ,crispy onion,43050,Field Day                     ,42563603809
laundry easy dose lavender,53577,7.33E+11,0.9796835,Seventh Generation            ,Packaged Grocery              ,crispy onion,43050,Field Day                     ,42563603809
laundry easy dose free & clear,53548,7.33E+11,0.99100137,Seventh Generation            ,Packaged Grocery              ,crispy onion,43050,Field Day                     ,42563603809
floor cleaner citrus,65729,8.95E+11,0.9694885,Better Life                   ,Packaged Grocery              ,organic 85% pure dark chocolate bar,43053,Field Day                     ,42563603939
tub & tile cleaner tea tree,55037,8.95E+11,0.9698645,Better Life                   ,Packaged Grocery              ,organic 85% pure dark chocolate bar,43053,Field Day                     ,42563603939
